INFO 2025-02-24 23:22:07,529 [Thread: 12704] [utilities - validate_xrp_wallet:65] Classic Address: rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg
INFO 2025-02-24 23:22:07,867 [Thread: 12704] [payments - send_xrp_payment_and_delete_account:72] await check_account_ledger_entries total time: 43
INFO 2025-02-24 23:22:07,867 [Thread: 12704] [escrows_util - check_escrow_entries:24] No Escrow entries found.
INFO 2025-02-24 23:22:07,867 [Thread: 12704] [payments_util - check_pay_channel_entries:108] No PayChannel entries found.
INFO 2025-02-24 23:22:07,867 [Thread: 12704] [ledger_util - check_ripple_state_entries:70] No RippleState entries found.
INFO 2025-02-24 23:22:07,867 [Thread: 12704] [account_utils - check_check_entries:106] No Check entries found.
INFO 2025-02-24 23:22:07,920 [Thread: 12704] [payments - send_xrp_payment_and_delete_account:95] await account_info_response total time: 52
INFO 2025-02-24 23:22:07,968 [Thread: 12704] [payments - send_xrp_payment_and_delete_account:103] await get_account_reserves total time: 48
ERROR 2025-02-24 23:22:08,118 [Thread: 12704] [error_handling - handle_error_new:20] Exception caught: XRPLException - {'status': 'failure', 'message': 'Insufficient balance to cover the reserve and fees.'}
ERROR 2025-02-24 23:22:08,118 [Thread: 12704] [error_handling - handle_error_new:24] Leaving: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:22:08,118 [Thread: 12704] [payments - send_xrp_payment_and_delete_account:154] Leaving: send_xrp_payment_and_delete_account. Total execution time in ms: 590
ERROR 2025-02-24 23:22:08,121 [Thread: 13924] [log - log_response:248] Internal Server Error: /xrpl/send-xrp-payment-and-delete-account/
ERROR 2025-02-24 23:22:08,122 [Thread: 13924] [basehttp - log_message:213] "GET /xrpl/send-xrp-payment-and-delete-account/?account=rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg&sender_seed=sEdSc7GENA9Z97eYBD1Nqm362JVRZ24 HTTP/1.1" 500 87
INFO 2025-02-24 23:24:31,010 [Thread: 20620] [payments - send_xrp_payment_and_delete_account:51] Entering: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:24:31,011 [Thread: 20620] [utilities - validate_xrp_wallet:65] Classic Address: rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg
INFO 2025-02-24 23:24:31,375 [Thread: 20620] [payments - send_xrp_payment_and_delete_account:72] await check_account_ledger_entries total time: 57
INFO 2025-02-24 23:24:31,375 [Thread: 20620] [escrows_util - check_escrow_entries:24] No Escrow entries found.
INFO 2025-02-24 23:24:31,375 [Thread: 20620] [payments_util - check_pay_channel_entries:108] No PayChannel entries found.
INFO 2025-02-24 23:24:31,376 [Thread: 20620] [ledger_util - check_ripple_state_entries:70] No RippleState entries found.
INFO 2025-02-24 23:24:31,376 [Thread: 20620] [account_utils - check_check_entries:106] No Check entries found.
INFO 2025-02-24 23:24:31,419 [Thread: 20620] [payments - send_xrp_payment_and_delete_account:95] await account_info_response total time: 42
INFO 2025-02-24 23:24:31,454 [Thread: 20620] [payments - send_xrp_payment_and_delete_account:103] await get_account_reserves total time: 35
ERROR 2025-02-24 23:24:31,587 [Thread: 20620] [error_handling - handle_error_new:20] Exception caught: XRPLException - {'status': 'failure', 'message': 'Insufficient balance to cover the reserve and fees.'}
ERROR 2025-02-24 23:24:31,587 [Thread: 20620] [error_handling - handle_error_new:24] Leaving: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:24:31,587 [Thread: 20620] [payments - send_xrp_payment_and_delete_account:154] Leaving: send_xrp_payment_and_delete_account. Total execution time in ms: 577
ERROR 2025-02-24 23:24:31,590 [Thread: 13924] [log - log_response:248] Internal Server Error: /xrpl/send-xrp-payment-and-delete-account/
ERROR 2025-02-24 23:24:31,590 [Thread: 13924] [basehttp - log_message:213] "GET /xrpl/send-xrp-payment-and-delete-account/?account=rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg&sender_seed=sEdSc7GENA9Z97eYBD1Nqm362JVRZ24 HTTP/1.1" 500 87
INFO 2025-02-24 23:25:44,064 [Thread: 12904] [payments - send_xrp_payment_and_delete_account:51] Entering: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:25:44,065 [Thread: 12904] [utilities - validate_xrp_wallet:65] Classic Address: rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg
ERROR 2025-02-24 23:25:44,066 [Thread: 12904] [error_handling - handle_error_new:20] Exception caught: XRPLException - {'status': 'failure', 'message': 'Sender seed is invalid.'}
ERROR 2025-02-24 23:25:44,066 [Thread: 12904] [error_handling - handle_error_new:24] Leaving: send_xrp_payment_and_delete_account
